SKU;Item Name;Brand;availability;SOH;Invoice Price ex GST;RRP Inc GST;Barcode;Shipping_Weight (Kg);Shipping_Length (Cm);Shipping_Width (Cm);Shipping_Height (Cm);Image_Link
KS13MRUSBL000-0;Mad Catz S.T.R.I.K.E. 2;Mad Catz;out of stock;0;65,21;99,99;4,90E+12;0;0;0;0;https://res.cloudinary.com/dbrtm8pf6/image/upload/v1572840034/uploads/624cebf8/products/1536/images/1_1572488535_1572839976.jpg
GAPCCAINBL000-0;Mad Catz EGO Arcade FightStick;Mad Catz;in stock;41;215,21;329,99;4,90E+12;0;0;0;0;https://res.cloudinary.com/dbrtm8pf6/image/upload/v1594674932/uploads/624cebf8/products/2517/images/GAPCCAINBL000-0_02_1594674157_1594674931.jpg
MR01MCINBL000-0;Mad Catz R.A.T. 1+;Mad Catz;in stock;121;39,12;59,99;4,90E+12;0;0;0;0;https://res.cloudinary.com/dbrtm8pf6/image/upload/v1572840051/uploads/624cebf8/products/1537/images/1_1572488965_1572839993.jpg
MR02MCINBL000-0;Mad Catz R.A.T. 2+;Mad Catz;in stock;82;52,17;79,99;4,90E+12;0;0;0;0;https://res.cloudinary.com/dbrtm8pf6/image/upload/v1572840070/uploads/624cebf8/products/1538/images/1_1572491351_1572840012.jpg
MR03MCINBL000-0;Mad Catz R.A.T. 4+;Mad Catz;in stock;51;65,21;99,99;4,90E+12;0;0;0;0;https://res.cloudinary.com/dbrtm8pf6/image/upload/v1572840090/uploads/624cebf8/products/1539/images/1_1572492005_1572840032.jpg
MR04DCINBL000-0;Mad Catz R.A.T. 6+;Mad Catz;in stock;57;97,82;149,99;4,90E+12;0;0;0;0;https://res.cloudinary.com/dbrtm8pf6/image/upload/v1572840116/uploads/624cebf8/products/1540/images/1_1572492549_1572840058.jpg
MR04DHAMBL000-0;Mad Catz R.A.T. AIR;Mad Catz;in stock;45;228,25;349,99;4,90E+12;0;0;0;0;https://res.cloudinary.com/dbrtm8pf6/image/upload/v1572840156/uploads/624cebf8/products/1541/images/3_1572838219_1572840098.jpg
MR05DCINBL000-0;Mad Catz R.A.T. 8+;Mad Catz;in stock;57;130,43;199,99;4,90E+12;0;0;0;0;https://res.cloudinary.com/dbrtm8pf6/image/upload/v1579740886/uploads/624cebf8/products/1542/images/1_1572493025_1579740885.jpg
AE21CDINBL000-0;Mad Catz E.S. PRO +;Mad Catz;in stock;30;58,69;89,99;4,90E+12;0;0;0;0;https://res.cloudinary.com/dbrtm8pf6/image/upload/v1572839976/uploads/624cebf8/products/1532/images/1_1571802087_1572839918.jpg
AF13C1INBL000-0;Mad Catz F.R.E.Q. 2;Mad Catz;in stock;11;52,17;79,99;4,90E+12;0;0;0;0;https://res.cloudinary.com/dbrtm8pf6/image/upload/v1572839990/uploads/624cebf8/products/1533/images/3_1572477482_1572839932.jpg
AF13C2INBL000-0;Mad Catz F.R.E.Q. 4;Mad Catz;in stock;43;78,25;119,99;4,90E+12;0;0;0;0;https://res.cloudinary.com/dbrtm8pf6/image/upload/v1587534821/uploads/624cebf8/products/1534/images/4_1572483663_1587534820.jpg
SGSNNS16BL000-0;Mad Catz G.L.I.D.E. 16;Mad Catz;in stock;138;16,3;24,99;4,90E+12;0;0;0;0;https://res.cloudinary.com/dbrtm8pf6/image/upload/v1572839968/uploads/624cebf8/products/1543/images/1_1571628575_1572839909.jpg
SGSSNS19BL000-0;Mad Catz G.L.I.D.E. 19;Mad Catz;in stock;79;32,6;49,99;4,90E+12;0;0;0;0;https://res.cloudinary.com/dbrtm8pf6/image/upload/v1572840167/uploads/624cebf8/products/1544/images/1_1572838997_1572840109.jpg
SGSSNS21BL000-0;Mad Catz G.L.I.D.E. 21;Mad Catz;in stock;77;39,12;59,99;4,90E+12;0;0;0;0;https://res.cloudinary.com/dbrtm8pf6/image/upload/v1572840179/uploads/624cebf8/products/1545/images/1_1572839559_1572840120.jpg
90053;Makeblock mBot;Makeblock;in stock;111;169,99;119,99;9,01E+16;0;15;31;51;https://res.cloudinary.com/dbrtm8pf6/image/upload/v1597987238/uploads/624cebf8/products/758/images/71o0u3mAvWL._SL1500__1597987238.jpg
90092;Makeblock mBot Ranger;Makeblock;in stock;5;269,99;259,99;9,01E+16;0;10;18;21,5;https://res.cloudinary.com/dbrtm8pf6/image/upload/v1597987263/uploads/624cebf8/products/759/images/812AWw0YYrL._SL1500__1597987262.jpg
P1020001;Makeblock Variety Gizmo Pack for (mBot & mBot Ranger);Makeblock;in stock;32;79,99;74,99;6,93E+12;0;5,4;15,4;21;https://res.cloudinary.com/dbrtm8pf6/image/upload/v1574820999/uploads/624cebf8/products/760/images/61cd009pB8L._SL1000__1574820934.jpg
P1030001;Makeblock Neuron Inventor Kit-E. (7 blocks);Makeblock;in stock;26;90,39;179,99;6,93E+12;0;7;17;23;https://res.cloudinary.com/dbrtm8pf6/image/upload/v1579826736/uploads/624cebf8/products/761/images/_L4A0639__E6_8B_B7_E8_B4_9D-800x800_1579826735.jpg
P1030021;Makeblock Creative Lab Kit (29 blocks);Makeblock;in stock;3;83,99;1199,99;6,93E+12;0;9,6;24,3;35;https://res.cloudinary.com/dbrtm8pf6/image/upload/v1574821536/uploads/624cebf8/products/762/images/4.2-291__E6_8B_B7_E8_B4_9D-800x800_1574821471.jpg
